Chemical Name,CASRN,Exposure Route,Assessment Type,Critical Effect or Tumor Type,WOE Characterization,Toxicity Value Type,Toxicity Value
Cyclohexanone,108-94-1,Oral,Noncancer,Body weight depression,n/a,RfD,5 mg/kg-day
Cyclohexylamine,108-91-8,Oral,Noncancer,Testicular damage,n/a,RfD,2x10-1 mg/kg-day
Cyhalothrin/Karate,68085-85-8,Oral,Noncancer,Reduced body weight gain preceding pregnancy reduced body weight gain in offspring during weaning period,n/a,RfD,5x10-3 mg/kg-day
Cypermethrin,52315-07-8,Oral,Noncancer,G.I. tract disturbances,n/a,RfD,1x10-2 mg/kg-day
Cyromazine,66215-27-8,Oral,Noncancer,Hematologic effects,n/a,RfD,7.5x10-3 mg/kg-day
Dacthal,1861-32-1,Oral,Noncancer,"Effects on the lungs, liver, kidney, thyroid and thyroid hormones in males and females and eyes of females",n/a,RfD,1x10-2 mg/kg-day
"Dalapon, sodium salt",75-99-0,Oral,Noncancer,Increased kidney body weight ratio,n/a,RfD,3x10-2 mg/kg-day
Danitol,39515-41-8,Oral,Noncancer,Tremors,n/a,RfD,2.5x10-2 mg/kg-day
"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether (BDE-209)",1163-19-5,Oral,Noncancer,Neurobehavioral effects,n/a,RfD,7x10-3 mg/kg-day
"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether (BDE-209)",1163-19-5,Oral,Cancer,Liver neoplastic nodules or carcinoma (combined),Suggestive evidence of carcinogenic potential (2005 guidelines),Oral Slope Factor,7x10-4 per mg/kg-day
Demeton,8065-48-3,Oral,Noncancer,"ChE inhibition, optic nerve degeneration",n/a,RfD,4x10-5 mg/kg-day
Di (2-ethylhexyl)phthalate (DEHP),117-81-7,Oral,Noncancer,Increased relative liver weight,n/a,RfD,2x10-2 mg/kg-day
Di (2-ethylhexyl)phthalate (DEHP),117-81-7,Oral,Cancer,Hepatocellular carcinoma and adenoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.4x10-2 per mg/kg-day
Di(2-ethylhexyl)adipate,103-23-1,Oral,Noncancer,"Changes in body weight and liver weight increased liver weight of male and female parents reduced ossification and slightly dilated ureters in fetuses reduced offspring weight gain, total litter weight, and litter size",n/a,RfD,6x10-1 mg/kg-day
Di(2-ethylhexyl)adipate,103-23-1,Oral,Cancer,Combined hepatocellular adenomas and carcinomas,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,1.2x10-3 per mg/kg-day
"1,2-Dibromo-3-chloropropane (DBCP)",96-12-8,Inhalation,Noncancer,Testicular effects,n/a,RfC,2x10-4 mg/m3
"1,4-Dibromobenzene",106-37-6,Oral,Noncancer,Liver/body weight ratio and hepatic microsomal enzyme induction,n/a,RfD,1x10-2 mg/kg-day
Dibromochloromethane,124-48-1,Oral,Noncancer,Hepatic lesions,n/a,RfD,2x10-2 mg/kg-day
Dibromochloromethane,124-48-1,Oral,Cancer,Hepatocellular adenoma or carcinoma,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,8.4x10-2 per mg/kg-day
"1,2-Dibromoethane",106-93-4,Oral,Cancer,"Forestomach tumors, hemangiosarcomas, thyroid follicular cell adenomas or carcinomas",Likely to be carcinogenic to humans (1999 guidelines),Oral Slope Factor,1 mg/kg-day (central tendency estimate)
"1,2-Dibromoethane",106-93-4,Oral,Cancer,"Forestomach tumors, hemangiosarcomas, thyroid follicular cell adenomas or carcinomas",Likely to be carcinogenic to humans (1999 guidelines),Oral Slope Factor,2 per mg/kg-day (95% upper bound)
"1,2-Dibromoethane",106-93-4,Inhalation,Cancer,"Nasal cavity (includes adenoma, adenocarcinoma, papillary adenoma, squamous cell carcinoma, and or/papilloma), hemangiosarcomas, mesotheliomas",Likely to be carcinogenic to humans (1999 guidelines),Inhalation Unit Risk,6x10-4 per ｵg/m3 (95% upper bound)
"1,2-Dibromoethane",106-93-4,Inhalation,Cancer,"Nasal cavity (includes adenoma, adenocarcinoma, papillary adenoma, squamous cell carcinoma, and or/papilloma), hemangiosarcomas, mesotheliomas",Likely to be carcinogenic to humans (1999 guidelines),Inhalation Unit Risk,3x10-4 per ｵg/m3 (central tendency estimate)
"1,2-Dibromoethane",106-93-4,Oral,Noncancer,"Testicular atrophy, liver peliosis, and adrenal cortical degeneration",n/a,RfD,9x10-3 mg/kg-day
"1,2-Dibromoethane",106-93-4,Inhalation,Noncancer,Nasal inflammation,n/a,RfC,9x10-3 mg/m3
Dibutyl phthalate (DBP),84-74-2,Oral,Noncancer,Increased mortality,n/a,RfD,1x10-1 mg/kg-day
Dicamba,1918-00-9,Oral,Noncancer,Maternal (reduced weight gain) and fetal toxicity,n/a,RfD,3x10-2 mg/kg-day
Dichloroacetic acid,79-43-6,Oral,Noncancer,"Lesions observed in the testes, cerebrum, cerebellum, and liver.",n/a,RfD,4x10-3 mg/kg-day
Dichloroacetic acid,79-43-6,Oral,Cancer,Hepatoadenoma and Hepatocarcinoma,Likely to be carcinogenic to humans (1999 guidelines),Oral Slope Factor,5x10-2 per mg/kg-day
"1,2-Dichlorobenzene",95-50-1,Oral,Noncancer,No adverse effects observed,n/a,RfD,9x10-2 mg/kg-day
"1,4-Dichlorobenzene",106-46-7,Inhalation,Noncancer,Increased liver weights in P1 males,n/a,RfC,8x10-1 mg/m3
"3,3'-Dichlorobenzidine",91-94-1,Oral,Cancer,Mammary adenocarcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,4.5x10-1 per mg/kg-day
Dichlorodifluoromethane,75-71-8,Oral,Noncancer,Reduced body weight,n/a,RfD,2x10-1 mg/kg-day
"p,p'-Dichlorodiphenyl dichloroethane (DDD)",72-54-8,Oral,Cancer,Liver tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.4x10-1 per mg/kg-day
"p,p'-Dichlorodiphenyldichloroethylene (DDE)",72-55-9,Oral,Cancer,"Hepatocellular carcinomas, hepatomas",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,3.4x10-1 per mg/kg-day
"p,p'-Dichlorodiphenyltrichloroethane (DDT)",50-29-3,Inhalation,Cancer,"Liver tumors, benign and malignant",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,9.7x10-5 per ｵg/m3
"p,p'-Dichlorodiphenyltrichloroethane (DDT)",50-29-3,Oral,Cancer,"Liver tumors, benign and malignant",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,3.4x10-1 per mg/kg-day
"p,p'-Dichlorodiphenyltrichloroethane (DDT)",50-29-3,Oral,Noncancer,Liver lesions,n/a,RfD,5x10-4 mg/kg-day
"1,2-Dichloroethane",107-06-2,Oral,Cancer,Hemangiosarcomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,9.1x10-2 per mg/kg-day
"1,2-Dichloroethane",107-06-2,Inhalation,Cancer,Hemangiosarcomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,2.6x10-5 per ｵg/m3
"cis-1,2-Dichloroethylene",156-59-2,Oral,Noncancer,Increased relative kidney weight in male rats,n/a,RfD,2x10-3 mg/kg-day
"trans-1,2-Dichloroethylene",156-60-5,Oral,Noncancer,Decrease in number of antibody forming cells (AFCs) against sheep red blood cells (sRBCs) in male mice,n/a,RfD,2x10-2 mg/kg-day
"1,1-Dichloroethylene (1,1-DCE)",75-35-4,Inhalation,Noncancer,Liver toxicity (fatty change),n/a,RfC,2x10-1 mg/m3
"1,1-Dichloroethylene (1,1-DCE)",75-35-4,Oral,Noncancer,Liver toxicity (fatty change),n/a,RfD,5x10-2 mg/kg-day
Dichloromethane,75-09-2,Oral,Cancer,Hepatocellular carcinomas or adenomas,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,2x10-3 per mg/kg-day
Dichloromethane,75-09-2,Oral,Noncancer,"Hepatic effects (hepatic vacuolation, liver foci)",n/a,RfD,6x10-3 mg/kg-day
Dichloromethane,75-09-2,Inhalation,Cancer,"Hepatocellular carcinomas or adenomas, bronchoalveolar carcinomas or adenomas",Likely to be carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,1x10-8 per ｵg/m3
Dichloromethane,75-09-2,Inhalation,Noncancer,Hepatic effects (hepatic vacuolation),n/a,RfC,6x10-1 mg/m3
"2,4-Dichlorophenol",120-83-2,Oral,Noncancer,Decreased delayed hypersensitivity response,n/a,RfD,3x10-3 mg/kg-day
"4-(2,4-Dichlorophenoxy)butyric acid (2,4-DB)",94-82-6,Oral,Noncancer,"Internal hemorrhage, mortality",n/a,RfD,8x10-3 mg/kg-day
"2,4-Dichlorophenoxyacetic acid (2,4-D)",94-75-7,Oral,Noncancer,"Hematologic, hepatic and renal toxicity",n/a,RfD,1x10-2 mg/kg-day
"1,2-Dichloropropane",78-87-5,Inhalation,Noncancer,Hyperplasia of the nasal mucosa,n/a,RfC,4x10-3 mg/m3
"2,3-Dichloropropanol",616-23-9,Oral,Noncancer,"Myocardial degeneration, hepatotoxicity and nephrotoxicity",n/a,RfD,3x10-3 mg/kg-day
"1,3-Dichloropropene",542-75-6,Oral,Cancer,Hepatocellular adenoma/carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,5x10-2 per mg/kg-day
"1,3-Dichloropropene",542-75-6,Oral,Cancer,Urinary bladder carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,1x10-1 per mg/kg-day
"1,3-Dichloropropene",542-75-6,Inhalation,Cancer,Bronchioalveolar adenoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,4x10-6 per ｵg/m3
"1,3-Dichloropropene",542-75-6,Oral,Cancer,Hepatocellular adenoma/carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,5x10-2 per mg/kg-day
"1,3-Dichloropropene",542-75-6,Inhalation,Noncancer,Hypertrophy/ hyperplasia of the nasal respiratory epithelium,n/a,RfC,2x10-2 mg/m3
"1,3-Dichloropropene",542-75-6,Oral,Noncancer,Chronic irritation,n/a,RfD,3x10-2 mg/kg-day
Dichlorvos,62-73-7,Oral,Noncancer,Plasma and RBC ChE inhibition in males and females brain ChE inhibition in males,n/a,RfD,5x10-4 mg/kg-day
Dichlorvos,62-73-7,Oral,Cancer,"Forestomach tumors, pancreatic acinar adenoma, leukemia",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.9x10-1 per mg/kg-day
Dichlorvos,62-73-7,Inhalation,Noncancer,Decreased brain cholinesterase activity,n/a,RfC,5x10-4 mg/m3
Dieldrin,60-57-1,Oral,Noncancer,Liver lesions,n/a,RfD,5x10-5 mg/kg-day
Dieldrin,60-57-1,Oral,Cancer,Liver carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.6x101 per mg/kg-day
Dieldrin,60-57-1,Inhalation,Cancer,Liver carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,4.6x10-3 per ｵg/m3
Diesel engine exhaust,,Inhalation,Noncancer,Pulmonary inflammation and histopathology,n/a,RfC,5x10-3 mg/m3
Diethyl phthalate (DEP),84-66-2,Oral,Noncancer,"Decreased growth rate, food consumption and altered organ weights",n/a,RfD,8x10-1 mg/kg-day
Difenzoquat,43222-48-6,Oral,Noncancer,Decreased body weight,n/a,RfD,8x10-2 mg/kg-day
Diflubenzuron,35367-38-5,Oral,Noncancer,Methemoglobin and sulfhemoglobin formation,n/a,RfD,2x10-2 mg/kg-day
"1,1-Difluoroethane",75-37-6,Inhalation,Noncancer,No adverse effects observed,n/a,RfC,4x101 mg/m3
Diisopropyl methylphosphonate (DIMP),1445-75-6,Oral,Noncancer,No effects related to treatment,n/a,RfD,8x10-2 mg/kg-day
Dimethipin,55290-64-7,Oral,Noncancer,Increased absolute and relative liver weight,n/a,RfD,2x10-2 mg/kg-day
Dimethoate,60-51-5,Oral,Noncancer,Brain ChE inhibition,n/a,RfD,2x10-4 mg/kg-day
Dimethyl terephthalate (DMT),120-61-6,Oral,Noncancer,Chronic kidney inflammation,n/a,RfD,1x10-1 mg/kg-day
N-N-Dimethylaniline,121-69-7,Oral,Noncancer,"Splenomegaly, increased splenic hemosiderosis and hematopoiesis",n/a,RfD,2x10-3 mg/kg-day
"N,N-Dimethylformamide",68-12-2,Inhalation,Noncancer,Digestive disturbances and minimal hepatic changes suggestive of liver abnormalities,n/a,RfC,3x10-2 mg/m3
"2,4-Dimethylphenol",105-67-9,Oral,Noncancer,"Clinical signs (lethargy, prostration, and ataxia) and hematological changes",n/a,RfD,2x10-2 mg/kg-day
"2,6-Dimethylphenol",576-26-1,Oral,Noncancer,"Body weight changes and histopathological changes of internal organs (liver, spleen and kidneys)",n/a,RfD,6x10-4 mg/kg-day
"3,4-Dimethylphenol",95-65-8,Oral,Noncancer,"Changes in blood pressure and body weight histopathological changes in liver, kidney and spleen",n/a,RfD,1x10-3 mg/kg-day
"4,6-Dinitro-o-cyclohexyl phenol",131-89-5,Oral,Noncancer,Cataract formation,n/a,RfD,2x10-3 mg/kg-day
m-Dinitrobenzene,99-65-0,Oral,Noncancer,Increased splenic weight,n/a,RfD,1x10-4 mg/kg-day
"2,4-Dinitrophenol",51-28-5,Oral,Noncancer,Cataract formation,n/a,RfD,2x10-3 mg/kg-day
"2,4-Dinitrotoluene",121-14-2,Oral,Noncancer,"Neurotoxicity, Heinz bodies and biliary tract hyperplasia",n/a,RfD,2x10-3 mg/kg-day
"2,4-/2,6-Dinitrotoluene mixture",Various,Oral,Cancer,"Liver: hepatocellular carcinomas, neoplastic nodules; mammary gland: adenomas, fibroadenomas, fibromas, adenocarcinomas/ carcinomas",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,6.8x10-1 per mg/kg-day
Dinoseb,88-85-7,Oral,Noncancer,Decreased fetal weight,n/a,RfD,1x10-3 mg/kg-day
"1,4-Dioxane",123-91-1,Inhalation,Cancer,"Multiple (nasal, liver, kidney, peritoneal, mammary gland, and Zymbal gland)",Likely to be carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,5x10-6 per ｵg/m3
"1,4-Dioxane",123-91-1,Inhalation,Noncancer,Atrophy and respiratory metaplasia of the olfactory epithelium,n/a,RfC,3x10-2 mg/m3
"1,4-Dioxane",123-91-1,Oral,Cancer,Hepatocellular adenoma and carcinoma,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,1x10-1 per mg/kg-day
"1,4-Dioxane",123-91-1,Oral,Noncancer,Liver and kidney toxicity,n/a,RfD,3x10-2 mg/kg-day
Diphenamid,957-51-7,Oral,Noncancer,Liver toxicity,n/a,RfD,3x10-2 mg/kg-day
Diphenylamine,122-39-4,Oral,Noncancer,"Decreased body weight gain, and increased liver and kidney weights",n/a,RfD,2.5x10-2 mg/kg-day
"1,2-Diphenylhydrazine",122-66-7,Oral,Cancer,Hepatocellular carcinomas and neoplastic liver nodules,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,8.0x10-1 per mg/kg-day
"1,2-Diphenylhydrazine",122-66-7,Inhalation,Cancer,Hepatocellular carcinomas and neoplastic liver nodules,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,2.2x10-4 per ｵg/m3
Diquat,2764-72-9,Oral,Noncancer,Minimal lens opacity and cataracts,n/a,RfD,2.2x10-3 mg/kg-day
Disulfoton,298-04-4,Oral,Noncancer,"ChE inhibition, optic nerve degeneration",n/a,RfD,4x10-5 mg/kg-day
"1,4-Dithiane",505-29-3,Oral,Noncancer,Nasal olfactory lesions,n/a,RfD,1x10-2 mg/kg-day
Diuron,330-54-1,Oral,Noncancer,Abnormal pigments in blood,n/a,RfD,2x10-3 mg/kg-day
Dodine,10/3/2439,Oral,Noncancer,Thyroid toxicity,n/a,RfD,4x10-3 mg/kg-day
Endosulfan,115-29-7,Oral,Noncancer,Reduced body weight gain in males and females increased incidence of marked progressive glomerulonephrosis and blood vessel aneurysms in males,n/a,RfD,6x10-3 mg/kg-day
Endothall,145-73-3,Oral,Noncancer,Increased absolute and relative weights of stomach and small intestine,n/a,RfD,2x10-2 mg/kg-day
Endrin,72-20-8,Oral,Noncancer,"Mild histological lesions in liver, occasional convulsions",n/a,RfD,3x10-4 mg/kg-day
Epichlorohydrin,106-89-8,Oral,Cancer,Papillomas and carcinomas of the forestomach,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,9.9x10-3 per mg/kg-day
Epichlorohydrin,106-89-8,Inhalation,Noncancer,Changes in the nasal turbinates,n/a,RfC,1x10-3 mg/m3
Epichlorohydrin,106-89-8,Inhalation,Cancer,Nasal cavity tumors,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.2x10-6 per ｵg/m3
"1,2-Epoxybutane (EBU)",106-88-7,Inhalation,Noncancer,Degenerative lesions of the nasal cavity,n/a,RfC,2x10-2 mg/m3
Ethephon,16672-87-0,Oral,Noncancer,Plasma ChE inhibition,n/a,RfD,5x10-3 mg/kg-day
Ethion,563-12-2,Oral,Noncancer,Plasma cholinesterase inhibition,n/a,RfD,5x10-4 mg/kg-day
2-Ethoxyethanol,110-80-5,Inhalation,Noncancer,"Decreased testis weight, seminiferous tubule degeneration and decreased hemoglobin",n/a,RfC,2x10-1 mg/m3
Ethyl Tertiary Butyl Ether (ETBE),637-92-3,Oral,Noncancer,Increased absolute kidney weight in female rats,n/a,RfD,1 mg/kg-day
Ethyl Tertiary Butyl Ether (ETBE),637-92-3,Inhalation,Noncancer,Increased absolute kidney weight in female rats,n/a,RfC,4x101 mg/m3
Ethyl Tertiary Butyl Ether (ETBE),637-92-3,Inhalation,Cancer,Hepatocellular adenomas and carcinomas,Suggestive evidence of carcinogenic potential (2005 guidelines),Inhalation Unit Risk,8x10-5 per mg/m3
Ethyl acetate,141-78-6,Oral,Noncancer,Mortality and body weight loss,n/a,RfD,9x10-1 mg/kg-day
Ethyl chloride,75-00-3,Inhalation,Noncancer,Delayed fetal ossification,n/a,RfC,1x101 mg/m3
S-Ethyl dipropylthiocarbamate (EPTC),759-94-4,Oral,Noncancer,Degenerative cardiomyopathy,n/a,RfD,2.5x10-2 mg/kg-day
Ethyl ether,60-29-7,Oral,Noncancer,Depressed body weights,n/a,RfD,2x10-1 mg/kg-day
Ethyl p-nitrophenyl phenylphosphorothioate (EPN),2104-64-5,Oral,Noncancer,Neurotoxicity,n/a,RfD,1x10-5 mg/kg-day
Ethylbenzene,100-41-4,Oral,Noncancer,Liver and kidney toxicity,n/a,RfD,1x10-1 mg/kg-day
Ethylbenzene,100-41-4,Inhalation,Noncancer,Developmental toxicity,n/a,RfC,1 mg/m3
Ethylene glycol,107-21-1,Oral,Noncancer,Kidney toxicity,n/a,RfD,2 mg/kg-day
Ethylene glycol monobutyl ether (EGBE) (2-Butoxyethanol),111-76-2,Oral,Noncancer,Hemosiderin deposition in the liver,n/a,RfD,1x10-1 mg/kg-day
Ethylene glycol monobutyl ether (EGBE) (2-Butoxyethanol),111-76-2,Inhalation,Noncancer,Hemosiderin deposition in the liver,n/a,RfC,1.6 mg/m3
Ethylene oxide,75-21-8,Inhalation,Cancer,"Lymphoid cancer, (female) breast cancer",Carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,3x10-3 per ｵg/m3
Ethylene thiourea (ETU),96-45-7,Oral,Noncancer,Increased incidence of thyroid hyperplasia,n/a,RfD,8x10-5 mg/kg-day
Ethylphthalyl ethylglycolate (EPEG),84-72-0,Oral,Noncancer,Kidney damage and reduced lifespan,n/a,RfD,3 mg/kg-day
Express,101200-48-0,Oral,Noncancer,"Elevated serum bilirubin and AST levels, increased urinary volume",n/a,RfD,8x10-3 mg/kg-day
Fenamiphos,22224-92-6,Oral,Noncancer,ChE inhibition,n/a,RfD,2.5x10-4 mg/kg-day
Fluometuron,2164-17-2,Oral,Noncancer,No adverse effects,n/a,RfD,1.3x10-2 mg/kg-day
Fluoranthene,206-44-0,Oral,Noncancer,"Nephropathy, increased liver weights, hematological alterations, and clinical effects",n/a,RfD,4x10-2 mg/kg-day
Fluorene,86-73-7,Oral,Noncancer,"Decreased RBC, packed cell volume and hemoglobin",n/a,RfD,4x10-2 mg/kg-day
Fluorine (soluble fluoride),7782-41-4,Oral,Noncancer,"Objectionable dental fluorosis, a cosmetic effect",n/a,RfD,6x10-2 mg/kg-day
Fluridone,59756-60-4,Oral,Noncancer,"Glomerulonephritis, atrophic testes, eye keratitis decreased body weight and organ weights",n/a,RfD,8x10-2 mg/kg-day
Flurprimidol,56425-91-3,Oral,Noncancer,Increased incidence of hepatocellular changes including fatty change and vacuolation (M) increased susceptibility to stress factors (F),n/a,RfD,2x10-2 mg/kg-day
Flutolanil,66332-96-5,Oral,Noncancer,Decreased body weight and body weight gains in both doses increased liver weights at high dose,n/a,RfD,6x10-2 mg/kg-day
Fluvalinate,69409-94-5,Oral,Noncancer,Decreases in body weight gain increase in plantar ulcer (females),n/a,RfD,1x10-2 mg/kg-day
Folpet,133-07-3,Oral,Noncancer,"Decreased body weight gain, altered serum chemistry parameters (decreased serum cholesterol, total protein, and serum albumin and globulin levels)",n/a,RfD,1x10-1 mg/kg-day
Fonofos,944-22-9,Oral,Noncancer,"Cholinesterase inhibition, cholinergic symptoms, and increased liver weight",n/a,RfD,2x10-3 mg/kg-day
Formaldehyde,50-00-0,Inhalation,Cancer,Squamous cell carcinoma,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans) (1986 guidelines),Inhalation Unit Risk,1.3x10-5 per ｵg/m3
Formaldehyde,50-00-0,Oral,Noncancer,"Reduced weight gain, histopathology in rats",n/a,RfD,2x10-1 mg/kg-day
Fosetyl-al,39148-24-8,Oral,Noncancer,Slight testicular degeneration,n/a,RfD,3 mg/kg-day
Furan,110-00-9,Oral,Noncancer,Hepatic lesions,n/a,RfD,1x10-3 mg/kg-day
Furfural,98-01-1,Oral,Noncancer,Mild hepatocellular vacuolization,n/a,RfD,3x10-3 mg/kg-day
Furmecyclox,60568-05-0,Oral,Cancer,Combined liver nodules and carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,3.0x10-2 per mg/kg-day
Glufosinate-ammonium,77182-82-2,Oral,Noncancer,Increased absolute and relative kidney weights in males,n/a,RfD,4x10-4 mg/kg-day
Glycidaldehyde,765-34-4,Oral,Noncancer,"Weight gain retardation, enlarged adrenals, hydropic renal pelvis and hematopoietic effects",n/a,RfD,4x10-4 mg/kg-day
Glyphosate,1071-83-6,Oral,Noncancer,Increased incidence of renal tubular dilation in F3b offspring,n/a,RfD,1x10-1 mg/kg-day
Haloxyfop-methyl,69806-40-2,Oral,Noncancer,"Reduced relative kidney weights in F0, F1, and F2b adults; reduced fertility in the F1/F2b generation",n/a,RfD,5x10-5 mg/kg-day
Harmony,79277-27-3,Oral,Noncancer,"Reduced body weight gains in males, reduced serum sodium in males and females",n/a,RfD,1.3x10-2 mg/kg-day
Heptachlor,76-44-8,Oral,Cancer,Hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,4.5 per mg/kg-day
Heptachlor,76-44-8,Oral,Noncancer,Liver weight increases in males,n/a,RfD,5x10-4 mg/kg-day
Heptachlor,76-44-8,Inhalation,Cancer,Hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.3x10-3 per ｵg/m3
Heptachlor epoxide,1024-57-3,Oral,Noncancer,Increased liver-to-body weight ratio in both males and females,n/a,RfD,1.3x10-5 mg/kg-day
Heptachlor epoxide,1024-57-3,Oral,Cancer,Hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,9.1 per mg/kg-day
Heptachlor epoxide,1024-57-3,Inhalation,Cancer,Hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,2.6x10-3 per ｵg/m3
Hexabromobenzene,87-82-1,Oral,Noncancer,"Induced serum carboxylesterase activity, increased relative liver weight, increased liver porphyrins",n/a,RfD,2x10-3 mg/kg-day
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE-153)",68631-49-2,Oral,Noncancer,Neurobehavioral effects,n/a,RfD,2x10-4 mg/kg-day
Hexachlorobenzene,118-74-1,Inhalation,Cancer,Hepatocellular carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,4.6x10-4 per ｵg/m3
Hexachlorobenzene,118-74-1,Oral,Noncancer,Liver effects,n/a,RfD,8x10-4 mg/kg-day
Hexachlorobenzene,118-74-1,Oral,Cancer,Hepatocellular carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.6 per mg/kg-day
Hexachlorobutadiene,87-68-3,Inhalation,Cancer,Renal tubular adenomas and adenocarcinomas,C (Possible human carcinogen) (1986 guidelines),Inhalation Unit Risk,2.2x10-5 per ｵg/m3
Hexachlorobutadiene,87-68-3,Oral,Cancer,Renal tubular adenomas and adenocarcinomas,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,7.8x10-2 per mg/kg-day
alpha-Hexachlorocyclohexane (alpha-HCH),319-84-6,Inhalation,Cancer,Hepatic nodules and hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.8x10-3 per ｵg/m3
alpha-Hexachlorocyclohexane (alpha-HCH),319-84-6,Oral,Cancer,Hepatic nodules and hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,6.3 per mg/kg-day
beta-Hexachlorocyclohexane (beta-HCH),319-85-7,Inhalation,Cancer,Hepatic nodules and hepatocellular carcinomas,C (Possible human carcinogen) (1986 guidelines),Inhalation Unit Risk,5.3x10-4 per ｵg/m3
beta-Hexachlorocyclohexane (beta-HCH),319-85-7,Oral,Cancer,Hepatic nodules and hepatocellular carcinomas,C (Possible human carcinogen) (1986 guidelines),Oral Slope Factor,1.8 per mg/kg-day
gamma-Hexachlorocyclohexane (gamma-HCH),58-89-9,Oral,Noncancer,Liver and kidney toxicity,n/a,RfD,3x10-4 mg/kg-day
technical Hexachlorocyclohexane (t-HCH),608-73-1,Oral,Cancer,Liver nodules and hepatocellular carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.8 per mg/kg-day
